종목명,시가총액
삼성전자,11051964
SK하이닉스,6628132
삼성전자우,1069743
현대차,995123
LG에너지솔루션,831870
SK스퀘어,733083
삼성바이오로직스,705937
한화에어로스페이스,655371
두산에너빌리티,647607
기아,630907
KB금융,539887
HD현대중공업,531104
삼성물산,462336
삼성생명,435000
셀트리온,434833
신한지주,424816
한화오션,366777
현대모비스,343423
미래에셋증권,342075
NAVER,327822
HD현대일렉트릭,326587
삼성전기,318942
고려아연,308920
삼성SDI,303405
하나금융지주,293077
한국전력,293057
한미반도체,285460
POSCO홀딩스,263437
HD한국조선해양,259737
LS ELECTRIC,247500
효성중공업,240480
SK,238171
한화시스템,234260
우리금융지주,232335
삼성중공업,229900
삼성화재,209121
카카오,207879
LG화학,204012
HD현대,189583
HMM,187327
현대로템,184014
기업은행,183408
LG전자,178686
SK이노베이션,177844
메리츠금융지주,177113
KT&G,173276
두산,172950
현대건설,171599
KODEX 200,170859
포스코퓨처엠,165707
한국항공우주,165220
현대글로비스,161250
SK텔레콤,159159
TIGER 미국S&P500,146387
KT,143904
LIG넥스원,140140
포스코인터내셔널,135461
LG,133247
삼성에피스홀딩스,127401
하이브,124251
DB손해보험,122185
에이피알,120551
S-Oil,118887
삼성에스디에스,117924
한국금융지주,116746
NH투자증권,116703
키움증권,112380
카카오뱅크,111867
현대오토에버,108873
크래프톤,108557
대한항공,89294
현대차2우B,86711
삼양식품,86178
LS,84864
이수페타시스,84788
삼성증권,84031
KODEX CD금리액티브(합성),81740
한화,81555
카카오페이,80729
한화솔루션,80360
TIGER 반도체TOP10,79286
아모레퍼시픽,79141
한진칼,78779
KODEX 미국S&P500,78641
TIGER 미국나스닥100,78378
HD현대마린솔루션,76213
KODEX 머니마켓액티브,75174
유한양행,74470
TIGER 200,72051
대우건설,71653
SK바이오팜,71500
삼성E&A,69482
KODEX 코스닥150,69059
LG이노텍,68516
삼성카드,68009
한국타이어앤테크놀로지,67140
LG유플러스,65033
한미약품,64055
HD건설기계,62078
한전기술,61649
