단어,빈도수
라이언,2
토마스,3
슬링,25
영어,1
은,1
캐나다,3
배우,5
영화,5
감독,3
음악가,1
디즈니,1
채널,1
미키,1
마우스,1
클럽,1
시절,3
경력,2
시작,3
그,34
외,1
가족,1
엔터테인먼트,1
프로그램,2
어두울,1
때,4
덫,1
구스범스,1
출연,4
첫,1
주연,2
역할,3
유대인,1
연기,7
빌리버,1
머더,2
바이,2
넘버,2
더,3
슬로,1
터,1
룰,1
유나이티드,1
스테이,1
츠,1
오브,1
리랜드,1
등,2
여러,1
독립,1
상업,1
로맨스,3
드라마,5
노트북,1
주인공,2
관객,2
주목,1
하프,1
넬슨,1
의,5
마약,1
중독,1
교사,1
로서,1
미국,2
아카데미상,2
최우수,2
남우,2
연상,1
후보,4
지명,3
내겐,1
그녀,1
사회,1
외톨이,1
골든,4
글로브,4
중단,1
후,1
블루,1
발렌타인,1
두,5
로맨틱,1
코미디,3
크레이지,1
스투피드,1
러브,1
정치,1
킹메이커,1
네오,2
누,2
아르,2
범죄,1
스릴러,1
드라이브,1
차례,2
데뷔,2
작,1
로스트,1
리버,1
평가,2
이후,1
금융,1
빅,1
쇼트,1
뮤지컬,2
라라,2
랜드,2
과,2
공상,1
과학,1
블레이드,1
러너,1
경우,1
부문,1
밴드,1
북미,1
여행,2
자체,1
제목,1
앨범,1
발표,1
캘리포니아,2
베벌리힐스,2
모로코,2
레스토랑,2
타진,2
공동,2
소유자,1
및,2
후원자,1
지역,2
갈등,1
대한,2
인식,1
제,1
위해,3
차드,1
우간다,1
콩고,1
동부,1
이상,1
아프리카,1
평화,1
증진,1
노력,1
참여,2
에바,2
데스,2
연인,3
관계,3
딸,2
온타리오주,1
런던,1
제지,1
공장,1
이동,1
맨,1
레이,2
비서,1
일,2
도나,1
아들,1
부모,3
일부,1
아일랜드,1
스코틀랜드,1
잉글랜드,1
조상,1
프랑스,1
캐나다인,2
출신,1
후기성도,1
종교,1
삶,1
모든,2
면,1
영향,1
말,3
아버지,1
때문,3
이사,1
온타리오,1
주,2
콘월,2
리아,1
벌링턴,1
만,2
세,4
이혼,1
누나,3
디,1
어머니,2
소녀,1
생각,2
제작,1
경험,1
글,1
드,1
스톤,1
공립,1
학교,2
컬리지,1
엣,1
앤,1
직업,1
레스터,1
피어슨,1
고등학교,2
교육,1
딕,1
트,1
시,1
를,1
보고,1
영감,1
자신,2
아이,1
것,3
초등학교,1
왕따,1
친구,1
수,1
주의력,1
결핍,1
과다행동,1
장애,1
대해,2
진단,1
거짓,1
보고서,1
달리,1
약물,1
치료,1
직장,1
동안,2
홈스쿨링,2
내,1
적,1
자율성,1
공연,5
격려,1
앞,1
엘비스,2
프레슬리,1
삼촌,1
페리,1
무대,1
이름,1
결혼식,1
노래,1
발레단,1
칭찬,1
이기,1
자신감,1
악센트,1
고,1
억양,2
개발,1
말론,1
브란도,1
표현,1
집중,1
나이,1
중퇴,1
이전,1
뉴욕,1
믹스견,1
조지,1
식당,2
소유,1
충동,1
돈,1
곳,1
개조,1
공사,1
메뉴,1
산드라,1
블록,1
중반,2
동료,1
레이첼,1
맥아담스,1
재결합,1
레이스,1
비욘드,1
파,1
인즈,1
교제,1
에스메랄다,1
아마다,2
출생,2
리,1
