id,name,score1,score2
1,Student_1,92,55
2,Student_2,84,54
3,Student_3,51,62
4,Student_4,93,69
5,Student_5,68,94
6,Student_6,90,79
7,Student_7,63,67
8,Student_8,91,71
9,Student_9,65,65
10,Student_10,85,78
11,Student_11,64,71
12,Student_12,78,89
13,Student_13,56,51
14,Student_14,64,65
15,Student_15,57,78
16,Student_16,57,68
17,Student_17,61,72
18,Student_18,76,92
19,Student_19,62,64
20,Student_20,66,61
21,Student_21,72,53
22,Student_22,96,87
23,Student_23,95,87
24,Student_24,96,75
25,Student_25,63,86
26,Student_26,71,91
27,Student_27,76,85
28,Student_28,86,80
29,Student_29,82,83
30,Student_30,60,76
31,Student_31,86,97
32,Student_32,74,70
33,Student_33,98,97
34,Student_34,56,91
35,Student_35,55,72
36,Student_36,56,83
37,Student_37,89,97
38,Student_38,69,51
39,Student_39,79,76
40,Student_40,95,98
41,Student_41,58,96
42,Student_42,98,76
43,Student_43,84,91
44,Student_44,51,79
45,Student_45,85,84
46,Student_46,65,91
47,Student_47,79,88
48,Student_48,62,76
49,Student_49,69,67
50,Student_50,84,69
51,Student_51,81,64
52,Student_52,56,90
53,Student_53,50,80
54,Student_54,60,84
55,Student_55,62,63
56,Student_56,67,94
57,Student_57,53,63
58,Student_58,56,60
59,Student_59,86,94
60,Student_60,85,88
61,Student_61,90,58
62,Student_62,71,62
63,Student_63,95,92
64,Student_64,98,94
65,Student_65,89,70
66,Student_66,51,64
67,Student_67,92,52
68,Student_68,72,67
69,Student_69,80,51
70,Student_70,64,64
71,Student_71,84,62
72,Student_72,52,80
73,Student_73,58,89
74,Student_74,81,79
75,Student_75,67,94
76,Student_76,66,68
77,Student_77,84,93
78,Student_78,67,71
79,Student_79,94,98
80,Student_80,54,97
81,Student_81,77,75
82,Student_82,55,68
83,Student_83,97,72
84,Student_84,73,53
85,Student_85,89,52
86,Student_86,96,69
87,Student_87,86,85
88,Student_88,89,68
89,Student_89,95,92
90,Student_90,68,65
91,Student_91,81,79
92,Student_92,95,62
93,Student_93,66,82
94,Student_94,99,74
95,Student_95,57,73
96,Student_96,85,96
97,Student_97,91,56
98,Student_98,69,89
99,Student_99,93,68
100,Student_100,67,90
101,Student_101,100,100
102,Student_102,69,61
103,Student_103,82,65
104,Student_104,76,56
105,Student_105,62,79
106,Student_106,62,55
107,Student_107,67,81
108,Student_108,62,83
109,Student_109,74,80
110,Student_110,71,61
111,Student_111,90,59
112,Student_112,60,82
113,Student_113,66,55
114,Student_114,70,91
115,Student_115,53,69
116,Student_116,85,96
117,Student_117,70,90
118,Student_118,72,76
119,Student_119,88,96
120,Student_120,76,51
121,Student_121,90,79
122,Student_122,57,76
123,Student_123,88,91
124,Student_124,81,66
125,Student_125,80,76
126,Student_126,91,59
127,Student_127,100,53
128,Student_128,54,91
129,Student_129,81,100
130,Student_130,97,76
131,Student_131,59,90
132,Student_132,82,93
133,Student_133,80,79
134,Student_134,94,94
135,Student_135,85,70
136,Student_136,66,78
137,Student_137,91,59
138,Student_138,78,76
139,Student_139,64,56
140,Student_140,54,65
141,Student_141,92,62
142,Student_142,99,68
143,Student_143,90,78
144,Student_144,97,75
145,Student_145,91,90
146,Student_146,90,65
147,Student_147,64,91
148,Student_148,53,56
149,Student_149,51,79
150,Student_150,73,68
151,Student_151,57,65
152,Student_152,73,96
153,Student_153,65,74
154,Student_154,63,100
155,Student_155,74,67
156,Student_156,91,89
157,Student_157,81,90
158,Student_158,88,62
159,Student_159,57,93
160,Student_160,67,96
161,Student_161,67,68
162,Student_162,54,77
163,Student_163,82,64
164,Student_164,73,79
165,Student_165,52,69
166,Student_166,67,60
167,Student_167,60,51
168,Student_168,66,68
169,Student_169,61,75
170,Student_170,74,69
171,Student_171,52,76
172,Student_172,68,58
173,Student_173,53,80
174,Student_174,86,76
175,Student_175,93,58
176,Student_176,51,52
177,Student_177,99,78
178,Student_178,78,64
179,Student_179,85,87
180,Student_180,71,53
181,Student_181,76,67
182,Student_182,85,67
183,Student_183,92,59
184,Student_184,60,93
185,Student_185,92,69
186,Student_186,65,100
187,Student_187,90,93
188,Student_188,98,78
189,Student_189,76,58
190,Student_190,83,77
191,Student_191,54,70
192,Student_192,93,64
193,Student_193,90,50
194,Student_194,68,70
195,Student_195,51,76
196,Student_196,63,93
197,Student_197,85,86
198,Student_198,62,95
199,Student_199,88,78
200,Student_200,94,72
201,Student_201,79,52
202,Student_202,69,93
203,Student_203,97,50
204,Student_204,93,88
205,Student_205,81,50
206,Student_206,89,92
207,Student_207,52,90
208,Student_208,54,80
209,Student_209,92,99
210,Student_210,70,83
211,Student_211,86,67
212,Student_212,58,50
213,Student_213,66,92
214,Student_214,64,68
215,Student_215,63,65
216,Student_216,56,94
217,Student_217,80,81
218,Student_218,100,80
219,Student_219,58,55
220,Student_220,87,73
221,Student_221,61,50
222,Student_222,95,72
223,Student_223,72,98
224,Student_224,92,61
225,Student_225,90,98
226,Student_226,94,78
227,Student_227,53,58
228,Student_228,69,92
229,Student_229,88,85
230,Student_230,75,95
231,Student_231,79,84
232,Student_232,63,71
233,Student_233,83,87
234,Student_234,53,91
235,Student_235,60,67
236,Student_236,73,77
237,Student_237,76,99
238,Student_238,75,85
239,Student_239,77,55
240,Student_240,100,55
241,Student_241,76,84
242,Student_242,57,97
243,Student_243,62,89
244,Student_244,79,95
245,Student_245,53,62
246,Student_246,86,65
247,Student_247,91,97
248,Student_248,88,60
249,Student_249,77,54
250,Student_250,79,92
251,Student_251,66,62
252,Student_252,89,52
253,Student_253,87,61
254,Student_254,65,100
255,Student_255,78,97
256,Student_256,77,57
257,Student_257,75,59
258,Student_258,72,65
259,Student_259,71,73
260,Student_260,98,70
261,Student_261,50,96
262,Student_262,63,78
263,Student_263,58,85
264,Student_264,87,88
265,Student_265,53,51
266,Student_266,94,94
267,Student_267,54,67
268,Student_268,94,62
269,Student_269,50,64
270,Student_270,79,75
271,Student_271,52,77
272,Student_272,58,61
273,Student_273,65,52
274,Student_274,76,96
275,Student_275,51,57
276,Student_276,92,84
277,Student_277,68,99
278,Student_278,67,67
279,Student_279,66,63
280,Student_280,52,65
281,Student_281,52,79
282,Student_282,73,94
283,Student_283,94,54
284,Student_284,91,68
285,Student_285,70,74
286,Student_286,91,54
287,Student_287,66,89
288,Student_288,96,56
289,Student_289,78,70
290,Student_290,51,74
291,Student_291,62,79
292,Student_292,81,64
293,Student_293,78,55
294,Student_294,98,71
295,Student_295,61,58
296,Student_296,86,99
297,Student_297,50,50
298,Student_298,53,54
299,Student_299,63,65
300,Student_300,89,70
301,Student_301,56,96
302,Student_302,93,74
303,Student_303,85,50
304,Student_304,91,88
305,Student_305,89,93
306,Student_306,61,80
307,Student_307,50,97
308,Student_308,75,91
309,Student_309,82,59
310,Student_310,95,93
311,Student_311,95,85
312,Student_312,64,76
313,Student_313,91,55
314,Student_314,82,77
315,Student_315,58,100
316,Student_316,77,73
317,Student_317,56,76
318,Student_318,60,52
319,Student_319,95,92
320,Student_320,91,68
321,Student_321,57,63
322,Student_322,83,61
323,Student_323,97,74
324,Student_324,54,52
325,Student_325,65,88
326,Student_326,87,86
327,Student_327,66,58
328,Student_328,98,68
329,Student_329,85,92
330,Student_330,83,93
331,Student_331,63,57
332,Student_332,71,88
333,Student_333,78,58
334,Student_334,74,72
335,Student_335,93,98
336,Student_336,84,56
337,Student_337,63,60
338,Student_338,88,62
339,Student_339,66,93
340,Student_340,87,89
341,Student_341,95,75
342,Student_342,52,100
343,Student_343,89,77
344,Student_344,73,92
345,Student_345,53,100
346,Student_346,99,91
347,Student_347,78,80
348,Student_348,93,92
349,Student_349,59,53
350,Student_350,54,100
351,Student_351,56,90
352,Student_352,72,66
353,Student_353,93,57
354,Student_354,99,69
355,Student_355,63,68
356,Student_356,97,50
357,Student_357,96,53
358,Student_358,51,69
359,Student_359,61,82
360,Student_360,65,90
361,Student_361,54,86
362,Student_362,50,71
363,Student_363,85,99
364,Student_364,85,67
365,Student_365,78,81
366,Student_366,85,65
367,Student_367,78,100
368,Student_368,94,77
369,Student_369,55,100
370,Student_370,96,97
371,Student_371,93,66
372,Student_372,64,93
373,Student_373,80,78
374,Student_374,99,58
375,Student_375,96,81
376,Student_376,59,54
377,Student_377,71,55
378,Student_378,68,85
379,Student_379,84,96
380,Student_380,72,69
381,Student_381,66,73
382,Student_382,58,66
383,Student_383,58,72
384,Student_384,85,93
385,Student_385,99,60
386,Student_386,73,81
387,Student_387,84,69
388,Student_388,86,82
389,Student_389,60,94
390,Student_390,95,95
391,Student_391,60,100
392,Student_392,77,55
393,Student_393,80,99
394,Student_394,88,68
395,Student_395,58,71
396,Student_396,90,88
397,Student_397,61,66
398,Student_398,51,63
399,Student_399,64,97
400,Student_400,93,74
401,Student_401,77,79
402,Student_402,57,76
403,Student_403,69,56
404,Student_404,71,57
405,Student_405,72,88
406,Student_406,74,74
407,Student_407,62,98
408,Student_408,65,75
409,Student_409,81,60
410,Student_410,50,61
411,Student_411,89,91
412,Student_412,71,96
413,Student_413,56,64
414,Student_414,76,64
415,Student_415,82,71
416,Student_416,73,65
417,Student_417,98,63
418,Student_418,77,95
419,Student_419,77,69
420,Student_420,72,89
421,Student_421,96,73
422,Student_422,73,87
423,Student_423,76,78
424,Student_424,84,67
425,Student_425,72,68
426,Student_426,55,96
427,Student_427,56,57
428,Student_428,52,53
429,Student_429,58,63
430,Student_430,93,89
431,Student_431,70,70
432,Student_432,50,89
433,Student_433,68,79
434,Student_434,98,98
435,Student_435,73,95
436,Student_436,68,100
437,Student_437,65,83
438,Student_438,83,73
439,Student_439,73,94
440,Student_440,51,83
441,Student_441,76,97
442,Student_442,50,50
443,Student_443,63,64
444,Student_444,78,77
445,Student_445,55,87
446,Student_446,83,94
447,Student_447,72,83
448,Student_448,91,62
449,Student_449,66,56
450,Student_450,56,66
451,Student_451,89,79
452,Student_452,88,75
453,Student_453,85,58
454,Student_454,51,98
455,Student_455,67,87
456,Student_456,59,85
457,Student_457,96,97
458,Student_458,98,80
459,Student_459,58,73
460,Student_460,83,73
461,Student_461,99,59
462,Student_462,72,70
463,Student_463,51,92
464,Student_464,63,73
465,Student_465,80,71
466,Student_466,98,54
467,Student_467,93,96
468,Student_468,67,79
469,Student_469,98,72
470,Student_470,54,94
471,Student_471,55,65
472,Student_472,61,78
473,Student_473,53,97
474,Student_474,83,76
475,Student_475,74,85
476,Student_476,72,64
477,Student_477,90,61
478,Student_478,64,62
479,Student_479,79,62
480,Student_480,51,57
481,Student_481,59,69
482,Student_482,99,56
483,Student_483,67,61
484,Student_484,92,85
485,Student_485,92,85
486,Student_486,51,50
487,Student_487,56,77
488,Student_488,71,93
489,Student_489,77,50
490,Student_490,85,52
491,Student_491,84,70
492,Student_492,67,100
493,Student_493,65,54
494,Student_494,53,70
495,Student_495,92,61
496,Student_496,53,55
497,Student_497,70,88
498,Student_498,66,92
499,Student_499,50,57
500,Student_500,67,84
501,Student_501,76,92
502,Student_502,98,62
503,Student_503,72,88
504,Student_504,72,77
505,Student_505,55,73
506,Student_506,65,82
507,Student_507,77,90
508,Student_508,77,58
509,Student_509,62,91
510,Student_510,51,93
511,Student_511,76,61
512,Student_512,99,76
513,Student_513,75,50
514,Student_514,85,54
515,Student_515,70,87
516,Student_516,78,50
517,Student_517,86,74
518,Student_518,85,93
519,Student_519,63,78
520,Student_520,54,95
521,Student_521,51,52
522,Student_522,56,82
523,Student_523,73,55
524,Student_524,75,83
